no,가격(만원)
11769,7511.680582789971
11770,1309.1397195041543
11771,1275.435745663434
11772,979.8243314417812
11773,1514.3240287660856
11774,451.9057795384056
11775,782.7242809496436
11776,2021.2238167160037
11777,956.392548904165
11778,327.1796884037086
11779,556.5853513192246
11780,1024.788924497373
11781,1127.990307937758
11782,1587.2753965599948
11783,664.8885008486784
11784,2738.228274855774
11785,1265.253308666718
11786,942.9836222436992
11787,742.0020741174832
11788,1537.0342381923933
11789,2061.34390184606
11790,1045.357199975675
11791,1593.5617140959723
11792,1118.9545363834131
11793,247.31140774572597
11794,1604.6328556687113
11795,1752.7800106464476
11796,3776.373824766572
11797,3871.4514093475354
11798,2636.7340685521026
11799,933.9616119152126
11800,741.1404428939362
11801,579.7637444060313
11802,2110.187286976079
11803,2435.987210508219
11804,1275.435745663434
11805,1358.6736638054917
11806,1418.8888945048761
11807,654.4211783624976
11808,731.9642593980872
11809,1901.5034691133694
11810,1865.2387628119952
11811,2050.729277387932
11812,7773.884908236741
11813,3216.8191820639795
11814,1089.7313224741524
11815,919.235247879067
11816,1773.4361590055273
11817,1931.5787930637684
11818,280.7610184881194
11819,849.0207803098498
11820,794.2450575743233
11821,401.0874065626988
11822,1542.2924337512216
11823,2683.1651089854176
11824,1196.5019478026443
11825,1933.1013023966818
11826,612.2867967785402
11827,297.1296723719238
11828,830.7040943133912
11829,1579.7313944534944
11830,1302.14842349795
11831,3472.3951012922084
11832,1123.3684736717105
11833,974.1708355762777
11834,2170.896737715827
11835,1537.2488214382647
11836,958.320730827327
11837,6939.646629453089
11838,1291.4791886158255
11839,8309.515053375248
11840,1177.6117796311548
11841,378.65460116213995
11842,375.219867384858
11843,2428.9933121075715
11844,567.6783963845775
11845,1815.3089810928293
11846,1475.694155367709
11847,1143.56768991696
11848,1567.4024635507817
11849,407.56926514259675
11850,1137.665693471483
11851,1985.1660966324748
11852,3224.1318163744595
11853,1529.1872382390495
11854,905.7287256363668
11855,1766.7754265494123
11856,2759.695630507874
11857,518.8496428067255
11858,1941.6782125500895
11859,1448.4172006437796
11860,728.7021714754836
11861,575.795218500465
11862,4290.05167001544
11863,2187.5784027113505
11864,952.5527024464707
11865,657.9333765188242
11866,738.7684379436148
11867,2984.349570356187
11868,748.4916649388614
11869,1158.0276938141938
11870,1088.1324824534956
11871,1788.2988096913166
11872,8066.924034577718
11873,1797.7380308313366
11874,1140.7194010980115
11875,725.7407403429212
11876,870.3502770755791
11877,942.0987295729922
11878,508.7695003284144
11879,1007.280495460936
11880,326.34950186985634
11881,871.8523260053107
11882,478.9230987159028
11883,2540.2208051456614
11884,2611.309192689578
11885,785.6627929478188
11886,711.9467322461097
11887,862.4713323313905
11888,4822.140550495595
11889,184.97108043743347
11890,1030.4170926345582
11891,1407.6261526499857
11892,771.8524811388122
11893,1050.9796137162452
11894,586.7472511012108
11895,658.8248210361593
11896,543.669823685451
11897,1123.3024307487922
11898,1095.6267257913962
11899,317.53581872304636
11900,2478.4466372583397
11901,379.6708072871466
11902,252.69012941722312
11903,1094.7696791588025
11904,490.566374416356
11905,3958.6374630383207
11906,1426.8719175102626
11907,928.5209740132485
11908,1004.3229768989504
11909,957.9760232030386
11910,849.0207803098498
11911,379.6818660460271
11912,1677.0616488342312
11913,1528.5143969619985
11914,1122.9799876817292
11915,2365.8991600161003
11916,276.3534467935512
11917,843.1849866260019
11918,487.51811717849097
11919,1098.6313001860738
11920,857.0653608294913
11921,560.4865746956525
11922,489.4947894614136
11923,591.5780626418895
11924,3129.7123492990454
11925,2174.7040368687412
11926,792.5041202436861
11927,1380.003564662967
11928,791.4346737907013
11929,379.90792010753484
11930,3217.079040402098
11931,1098.4536290491476
11932,2807.6779812107343
11933,351.7627239089867
11934,1563.2155253910703
11935,2370.355894597519
11936,4127.538647573932
11937,2480.8536723175966
11938,597.3641406814168
11939,392.3907563399634
11940,4548.42790457637
11941,1737.5083129931606
11942,760.4135791335033
11943,618.1866272826337
11944,308.5110718505698
11945,2626.191573727446
11946,908.799952804217
11947,243.4201093535598
11948,758.3182066592326
11949,500.6083077788735
11950,1861.2687840262192
11951,192.18547099703127
11952,2036.2478474146144
11953,1296.2318031785894
11954,2770.0613660115973
11955,1063.5294873368205
11956,619.6920131714857
11957,1097.0768654775648
11958,415.7824865932622
11959,2516.546082943759
11960,567.90728350966
11961,274.34151412059913
11962,1480.30605280093
11963,2457.9456210947214
11964,562.5184923847185
11965,1377.1891718395548
11966,415.7266541443855
11967,4045.6547180462744
11968,600.7664126212435
11969,1413.665212431622
11970,1057.988729575851
11971,650.6952956597648
11972,972.3832098644297
11973,219.55209180101045
11974,1957.277918558812
11975,5665.014108523504
11976,836.40597388958
11977,845.7329278366126
11978,1760.951958469177
11979,5665.014108523504
11980,4102.462000393439
11981,493.28061117200076
11982,1478.2243420453121
11983,909.1825136586875
11984,746.6541898128569
11985,1542.2924337512216
11986,638.5331061480618
11987,473.44625687531175
11988,1025.1593492845705
11989,1903.253648306448
11990,766.8546155184652
11991,1158.0276938141938
11992,638.9973724797121
11993,820.7775677274607
11994,1073.169178917425
11995,2348.5481764508095
11996,1419.4576081132193
11997,4406.3048975003785
11998,1122.8092260357064
11999,2809.4495842655956
12000,1009.5688878317528
12001,1460.4958437209957
12002,555.2221190636152
12003,1630.1154659040121
12004,921.623561077327
12005,5009.021866903238
12006,1594.8987523092867
12007,1947.819883057704
12008,1066.398946496197
12009,3616.442594691595
12010,3267.1964469946283
12011,1524.9003232467298
12012,1306.845728455383
12013,242.71658184366737
12014,4269.265946195004
12015,897.0187453329473
12016,706.3825333944902
12017,1216.5680861793533
12018,1002.8665958740621
12019,1048.5422678088405
12020,1685.3016255383882
12021,1051.5422675086645
12022,2152.9768592083838
12023,1197.2551133744237
12024,544.7746338079081
12025,186.3150638630786
12026,477.77078634936186
12027,817.9465923994096
12028,941.9905212497279
12029,1195.8709088855253
12030,580.9242804759244
12031,884.9956744338303
12032,384.7912558495323
12033,4395.191025378346
12034,301.3128218726495
12035,1080.7425975957024
