no,가격(만원)
11769,4253.8533333333335
11770,1327.195
11771,1601.3
11772,712.62
11773,5611.963333333332
11774,1553.0175
11775,2695.57
11776,2954.1166666666663
11777,1149.8633333333332
11778,875.36
11779,853.58
11780,1088.2
11781,939.765
11782,1722.7396666666668
11783,864.5283333333334
11784,5284.26
11785,1179.9633333333334
11786,3528.0
11787,784.0866666666667
11788,1181.4233333333334
11789,2734.235
11790,1050.455714285714
11791,1679.6626666666666
11792,970.8133333333334
11793,786.36
11794,2146.373333333333
11795,2423.27
11796,2749.14
11797,3054.57
11798,3833.5133333333333
11799,1175.5133333333333
11800,1109.78
11801,1589.1566666666665
11802,1557.5766666666668
11803,5109.19
11804,1531.655
11805,1362.02
11806,1136.06
11807,2363.63
11808,1447.8657692307693
11809,4685.52
11810,1991.0866666666666
11811,4541.043333333334
11812,5568.97
11813,3899.05
11814,1967.694
11815,828.9488333333331
11816,2196.331666666667
11817,2799.01
11818,927.165
11819,1278.909332995436
11820,1000.642380952381
11821,866.3066666666667
11822,1941.625
11823,5109.696666666667
11824,2230.17
11825,4669.95
11826,1272.45
11827,1038.24
11828,1106.34
11829,1341.98
11830,1490.05
11831,5649.383333333332
11832,1649.5916666666665
11833,1004.6225
11834,3069.93
11835,1355.135
11836,1442.8923333333335
11837,5052.093
11838,1793.61
11839,5878.36
11840,1903.0796153846154
11841,924.51
11842,1012.4733333333335
11843,4074.14
11844,822.05
11845,3829.17
11846,1375.485
11847,1651.980238095238
11848,1477.3316666666665
11849,616.9433333333334
11850,1193.3876666666665
11851,3254.900833333333
11852,5496.07
11853,1981.8066666666668
11854,790.505
11855,2039.1916666666668
11856,2617.05
11857,924.51
11858,5009.25
11859,1313.3633333333332
11860,815.52
11861,1321.325
11862,4445.069666666666
11863,1942.8833333333334
11864,1242.32
11865,1072.45
11866,1533.6
11867,2825.5
11868,1548.83
11869,1178.74
11870,2799.08
11871,3307.3483333333334
11872,4428.843333333334
11873,1348.9066666666668
11874,3554.795
11875,1151.0874999999999
11876,1749.95
11877,2370.987777777778
11878,489.97
11879,1270.4
11880,3914.9
11881,1498.466995781996
11882,1744.8866666666665
11883,3657.92
11884,2652.54
11885,995.91
11886,850.8
11887,1032.2163333333333
11888,5295.7905
11889,1240.87
11890,1048.8725
11891,2956.7466666666664
11892,797.7883333333333
11893,969.1866666666667
11894,1128.08
11895,3614.67
11896,507.9
11897,1612.3533333333335
11898,1650.2483333333334
11899,839.05
11900,4069.5825
11901,1022.54
11902,797.54
11903,3597.7183333333323
11904,655.9833333333332
11905,4775.535238095238
11906,1340.4066666666665
11907,2155.9
11908,1064.3253333333334
11909,1587.88
11910,1015.6046303369833
11911,936.53
11912,2255.5992857142855
11913,1369.91
11914,1332.5866666666668
11915,1895.7183333333335
11916,933.01
11917,3470.89
11918,485.245
11919,1052.3455000000001
11920,2181.3333333333335
11921,1522.7766060606061
11922,510.91
11923,1256.7016666666666
11924,2802.195
11925,2997.316666666667
11926,2029.2233333333331
11927,4700.7
11928,3335.933333333333
11929,845.9275
11930,3537.296666666666
11931,3549.6875
11932,5534.69
11933,913.83
11934,1639.42
11935,2825.33
11936,3142.53
11937,5039.01
11938,2053.18
