no,가격(만원)
11769,3758.139417401383
11770,1613.2495765749268
11771,1628.4905255847939
11772,1437.7276262780406
11773,2006.9406862433138
11774,1509.4273943167796
11775,1598.5333005591688
11776,2333.6315650848446
11777,1496.004298937049
11778,1411.8443050399178
11779,1333.518576708977
11780,1412.7984422855745
11781,1488.3011523773275
11782,1693.1791499180072
11783,1342.511795277003
11784,2298.368053473435
11785,1697.2814266865016
11786,1640.4335148607092
11787,1389.8101945471492
11788,1595.284742749106
11789,1788.0036192603488
11790,1281.5562906647192
11791,1752.152317560824
11792,1522.9343634781826
11793,1290.8092983439092
11794,1838.1061329676913
11795,1922.2527435552338
11796,2237.0739137852734
11797,2291.9273553236503
11798,2585.3908286004626
11799,1595.7616830449542
11800,1607.3775964011757
11801,1547.6239506732586
11802,2269.013172183713
11803,2278.835391658825
11804,1613.3938403298248
11805,1757.8796807820345
11806,1759.8849068090135
11807,1320.684741000262
11808,1390.594773297426
11809,2063.580253609221
11810,1997.7098159118505
11811,1948.1574778287209
11812,3784.683479089656
11813,2487.8853608066843
11814,1531.2367555718943
11815,1539.7398566527233
11816,1759.2676668649456
11817,1952.4737708431267
11818,1414.5472240194395
11819,1248.4927702621903
11820,1204.7628216618516
11821,1324.0052480271897
11822,1442.852289706504
11823,2333.0576367991816
11824,1789.9321457743076
11825,2026.1589496681581
11826,1462.7891053264339
11827,1527.5520893481405
11828,1590.9158126675788
11829,1900.0522578649548
11830,1981.4844944942006
11831,2829.1686144887117
11832,1950.4692559854648
11833,1500.1730865714107
11834,2258.062981083314
11835,1505.8510086398949
11836,1714.7384774373745
11837,5241.271211352804
11838,1654.6940624452873
11839,5847.505398363505
11840,1674.7508265767174
11841,1278.295350896785
11842,1547.1843875909185
11843,1756.2080612617779
11844,1536.1731879620206
11845,1949.102077234319
11846,1722.6930414753629
11847,1612.9102883569572
11848,1869.5519536491456
11849,1273.9691705467792
11850,1376.309885585445
11851,2221.3815065381327
11852,2774.448136942298
11853,1785.4660706991613
11854,1349.7163293485992
11855,1658.3306653051482
11856,1705.072309264826
11857,1278.295350896785
11858,2137.6959348603623
11859,1709.0842505853807
11860,1450.2665116295607
11861,1598.6664991937655
11862,2668.49038513758
11863,1852.365364155241
11864,1535.8888565956463
11865,1474.059511648276
11866,1507.314423470987
11867,2138.022821146887
11868,1552.752719021198
11869,1618.0055855063724
11870,1652.0650464013397
11871,1941.085764258562
11872,4168.38815484237
11873,1730.9264765045318
11874,2006.808638436747
11875,1377.3859327851014
11876,1572.0355460542419
11877,1550.0543969891996
11878,1396.21216987648
11879,1585.4233788362926
11880,1779.4161564753654
11881,1572.0298081225196
11882,1516.0883173217758
11883,1830.6483985216978
11884,2133.1836957868686
11885,1432.442736755684
11886,1513.5982145416003
11887,1447.8857614130497
11888,3163.9880704607694
11889,1611.3391790223995
11890,1691.0196586705993
11891,1867.1020085570813
11892,1561.261984103438
11893,1519.3573569928994
11894,1360.3535767257379
11895,1795.7490450771775
11896,1377.6413691470752
11897,1637.443610953184
11898,1561.3926702684362
11899,1370.3650760813869
11900,2531.813412437506
11901,1484.0299631573416
11902,1272.4814618507746
11903,1613.9627483660793
11904,1324.9018947378754
11905,2934.4298764110936
11906,2236.9397340816627
11907,1708.557756397187
11908,1523.30863878939
11909,1488.5408732522565
11910,1220.0224904685738
11911,1524.88292802076
11912,2210.6405702401144
11913,1508.7722255635163
11914,1305.623611224935
11915,1728.005359686083
11916,1398.4487495379499
11917,1723.443323367465
11918,1326.2664176683836
11919,1637.7293281094862
11920,1674.0483422823445
11921,1353.364256121365
11922,1440.433444137467
11923,1413.0265848002741
11924,2262.332245346815
11925,1871.2627547687293
11926,1737.9805233355432
11927,1793.7726155704936
11928,1659.5150154193716
11929,1452.497837316149
11930,2737.219998817921
11931,1638.2284883514412
11932,2407.61628376244
11933,1275.837069257266
11934,1637.523505661903
11935,2161.56103329117
11936,2396.722016233596
11937,2269.1753141242857
11938,1691.0333075941794
11939,1338.63716072923
11940,3027.0064558520958
11941,1978.4539821234148
11942,1791.800425259862
11943,1512.6936741992286
11944,1290.4557257591368
11945,2075.205221080857
11946,1292.412265671398
11947,1383.5757701621278
11948,1461.081612176175
11949,1521.1850193218888
11950,2094.8983720868796
11951,1269.3581235274578
11952,2032.757078214031
11953,1608.5815899434633
11954,2564.7290972857063
11955,1535.6888193592288
11956,1657.5371961102114
11957,1608.8576832965873
11958,1501.3520528479385
11959,2311.979377148168
11960,1291.7234966871174
11961,1321.936981723166
11962,1982.0539200139424
11963,1753.6472431436882
11964,1386.7157421717206
11965,1756.1894730739477
11966,1273.9691705467792
11967,2510.1153196726555
11968,1441.6187760581765
11969,2144.366043497559
11970,1393.7086454968644
11971,1361.9903975464476
11972,1544.535640564437
11973,1354.9302903270968
11974,2069.2086326903705
11975,4722.857684888016
11976,1541.3376918447525
11977,1502.6416637107088
11978,2121.487541955612
