no,가격(만원)
11769,6832.670952039158
11770,1004.8128883506183
11771,1335.2564129611355
11772,706.8267948567
11773,1654.1588551001278
11774,517.8725568203322
11775,1176.1816215684873
11776,2211.826413235017
11777,804.2772838371093
11778,323.24579633980557
11779,529.0027139273757
11780,969.777923530874
11781,1084.6862277835683
11782,1517.7829778180273
11783,884.2644990245374
11784,2948.961409855896
11785,1590.17135383973
11786,1049.7274309526138
11787,867.0965395555418
11788,1302.6846781152776
11789,2540.475932385224
11790,927.02998885744
11791,1619.4652774241988
11792,1054.3089880201105
11793,181.79853176984614
11794,2022.1287683090036
11795,2406.4431593934705
11796,3124.200957432986
11797,3245.0267978625147
11798,3237.896368097189
11799,1274.1529746267338
11800,851.1705117303045
11801,536.1311109014314
11802,2180.3161040408295
11803,2328.680637392248
11804,1335.2564129611355
11805,1237.4592694558582
11806,1420.7200838304448
11807,487.3249587955015
11808,807.0424521345649
11809,2045.534711152734
11810,2449.587201777633
11811,2189.0778881822516
11812,8478.671639909891
11813,3318.4467443252706
11814,523.4753722607813
11815,932.1757600504354
11816,2260.329837970349
11817,2124.887348739653
11818,438.52153082114944
11819,748.1226240557068
11820,667.1150141211124
11821,586.9618586454778
11822,1505.8843787809426
11823,2562.2088507943645
11824,1824.6688615988317
11825,1960.9663428882257
11826,377.1698234176637
11827,474.8124421595737
11828,963.3185413839813
11829,1621.634468338712
11830,1670.9052894242923
11831,3903.6356389232697
11832,1875.100686767514
11833,875.7893276473143
11834,2181.2868896462214
11835,1024.2386885838198
11836,1034.3403546670852
11837,7612.631924222769
11838,1384.4284848744655
11839,8316.598858956366
11840,1248.5133991344564
11841,488.49248437986023
11842,414.8355057512571
11843,1454.685017844472
11844,714.6089962226262
11845,1720.539288901994
11846,1647.5515628517587
11847,1144.4953307296428
11848,1547.322522266847
11849,408.20596151386565
11850,1063.783749338841
11851,2246.646353127765
11852,4129.558172847729
11853,1871.6915200614926
11854,826.2629985662638
11855,1964.077099600561
11856,2464.9041689081932
11857,448.9108308637019
11858,1979.4082843009992
11859,1336.7892735342775
11860,685.0399100781945
11861,838.3410606779437
11862,4522.635645813243
11863,1487.8870614933965
11864,952.2395691644095
11865,486.8433262517864
11866,758.6459879925709
11867,2515.9789429411408
11868,799.3837793404866
11869,1151.9704391348773
11870,1015.6806179506705
11871,2178.4044705663377
11872,6330.328497816743
11873,1559.4168114184472
11874,1688.4590600595677
11875,777.6211102262362
11876,970.4945711388727
11877,1014.2185963731938
11878,465.344258631132
11879,934.4458266410636
11880,1950.2857780123488
11881,2929.6074742575183
11882,440.0215616242823
11883,1095.4816914813491
11884,2242.6838160064663
11885,898.8725614425662
11886,660.1660725306529
11887,881.7807510225987
11888,5349.21969488715
11889,1216.5917238680165
11890,1119.782750627333
11891,1598.1446521757225
11892,754.694669370678
11893,1086.2889340799697
11894,699.887939088464
11895,1712.121597332672
11896,582.3840818713161
11897,1107.1092298641474
11898,1267.725015788148
11899,291.09795323045375
11900,3417.5100491636526
11901,370.32531324368114
11902,346.09080752282046
11903,952.6637303124764
11904,601.8352803939517
11905,4106.149104266229
11906,1914.3715193095686
11907,879.1381011164437
11908,1036.5062605287387
11909,589.8635993520014
11910,748.1226240557068
11911,504.28019441503625
11912,2423.4187525180637
11913,1093.1577716850727
11914,1061.1284266876114
11915,1229.8828833833036
11916,340.45399790180977
11917,890.7584292250543
11918,454.00095108540233
11919,1098.8060375340056
11920,764.8875650156093
11921,923.5367359705804
11922,300.0761224784508
11923,757.6485259225811
11924,3006.6562358355386
11925,2162.056402052911
11926,854.1076749753381
11927,1593.5932415257034
11928,808.057304001832
11929,419.5471875088051
11930,3095.929472046898
11931,1058.183803170859
11932,2325.1603198981115
11933,374.43011621116875
11934,1418.9496498135
11935,3514.260087604075
11936,4946.3163264562145
11937,2520.7848362942486
11938,668.457375726271
11939,438.9370241153473
11940,5268.932665258633
11941,2154.400370337814
11942,1248.2660169251003
11943,855.6286200933489
11944,395.9089621023646
11945,2775.664278606084
11946,1143.776788929748
11947,358.0607694308887
11948,876.4958914183167
