no,가격(만원)
11769,6780.8877
11770,1007.86865
11771,1407.8788
11772,672.7307
11773,2022.4015
11774,512.4597
11775,1261.5793
11776,2198.93
11777,843.3113
11778,307.2193
11779,507.12936
11780,991.82074
11781,1070.4314
11782,1498.4655
11783,858.1391
11784,2909.6062
11785,1545.157
11786,1032.9368
11787,909.5624
11788,1329.3334
11789,2525.1187
11790,890.6166
11791,1479.565
11792,1057.174
11793,228.10138
11794,1954.1704
11795,2476.0063
11796,3132.5503
11797,3202.5479
11798,3404.6025
11799,1343.2902
11800,899.8678
11801,510.1299
11802,2467.0933
11803,2386.2017
11804,1407.8788
11805,1282.5992
11806,1391.6378
11807,532.11914
11808,779.5379
11809,2080.9001
11810,2434.3367
11811,2199.5444
11812,8224.095
11813,3254.5042
11814,526.67004
11815,917.1557
11816,2165.9966
11817,2188.6985
11818,440.11533
11819,702.5972
11820,623.84467
11821,547.0212
11822,1507.721
11823,2394.4553
11824,1571.7957
11825,1984.2643
11826,414.79794
11827,508.22046
11828,909.8701
11829,1540.9404
11830,1724.7095
11831,3820.0227
11832,1834.8431
11833,855.54114
11834,2272.1345
11835,1010.1107
11836,1037.615
11837,7420.9834
11838,1408.4484
11839,8402.157
11840,1268.7441
11841,490.92188
11842,385.37485
11843,1422.2699
11844,714.45105
11845,1787.3453
11846,1588.758
11847,1144.3466
11848,1559.9702
11849,408.8292
11850,1057.898
11851,2262.7273
11852,4167.329
11853,1827.2521
11854,835.10376
11855,1986.9028
11856,2382.6975
11857,474.0111
11858,1772.5271
11859,1396.6138
11860,652.6571
11861,939.4467
11862,4513.114
11863,1457.4972
11864,865.08563
11865,464.89606
11866,799.99536
11867,2626.219
11868,782.8373
11869,1181.9446
11870,1047.866
11871,2192.4705
11872,6331.7266
11873,1619.4631
11874,1327.7384
11875,802.73486
11876,1019.27594
11877,941.57745
11878,498.25742
11879,965.5577
11880,2051.017
11881,2564.4302
11882,454.17844
11883,1018.30585
11884,2216.5706
11885,913.74384
11886,639.901
11887,903.5953
11888,5409.7075
11889,1038.8018
11890,1153.056
11891,1576.7784
11892,808.9179
11893,1012.6289
11894,709.27094
11895,1462.8856
11896,578.21857
11897,1093.7264
11898,1370.5519
11899,329.44214
11900,3304.2656
11901,347.3762
11902,330.4047
11903,964.3803
11904,591.06494
11905,4011.4043
11906,2037.9688
11907,838.29535
11908,932.29193
11909,632.5621
11910,702.5972
11911,516.40466
11912,2429.829
11913,1084.4626
11914,1063.8031
11915,1319.8552
11916,322.2273
11917,906.8463
11918,448.0938
11919,1059.1545
11920,765.8217
11921,920.45416
11922,299.99115
11923,767.38806
11924,3080.5916
11925,2152.4692
11926,935.10846
11927,1562.359
11928,821.9439
11929,416.0419
11930,3164.2893
11931,1063.946
11932,2913.3843
11933,378.41742
11934,1447.7368
11935,3492.479
11936,5139.6987
11937,2508.9895
11938,685.7458
11939,455.10468
11940,5682.8477
11941,2176.0198
11942,1327.9012
11943,900.43475
11944,423.51187
11945,2742.7231
11946,1220.979
11947,351.4521
