no,가격(만원)
11769,6617.964463572771
11770,957.7402641852241
11771,1211.2863762729974
11772,581.9938323248134
11773,1107.162872288456
11774,514.7278368492508
11775,1105.4981243827906
11776,2123.518270335711
11777,754.0479196226195
11778,305.1126144891494
11779,526.9213635169755
11780,925.0466483592
11781,1073.44969794979
11782,1504.5819770862556
11783,933.8216068588654
11784,2791.7639775269295
11785,1185.213841981334
11786,1035.7585006980903
11787,888.9859407491629
11788,1063.6757914526916
11789,2142.7972826012015
11790,927.66208218062
11791,1743.5907656908803
11792,1017.5912000995816
11793,200.83950886415042
11794,1971.6988580699838
11795,2491.7191741552792
11796,3027.1403938938283
11797,3532.141022291936
11798,3319.0321780758254
11799,1189.6096325842254
11800,599.5335810534305
11801,535.7759700469846
11802,1934.0727331163498
11803,2276.7050559271315
11804,1211.2863762729974
11805,1222.9833073090033
11806,1418.6383826906429
11807,495.0801729093983
11808,743.4243657879871
11809,2090.070918623896
11810,2311.0763844203975
11811,2253.0006203297007
11812,8984.711786718466
11813,3079.679301427801
11814,538.6472577615432
11815,823.5026245588924
11816,2026.4359110023488
11817,2008.8921704188263
11818,501.2988457099384
11819,768.2537032330821
11820,712.0387514645803
11821,469.0099499744983
11822,1476.6635601388175
11823,2203.2638707831943
11824,1481.6828879429418
11825,2026.8863731499641
11826,395.8250074693375
11827,526.3873854061983
11828,936.1280656564644
11829,1642.2706636300338
11830,1641.464070839361
11831,3703.198534066071
11832,1502.8638775505492
11833,868.3098426133342
11834,1974.84471545628
11835,937.855131161948
11836,982.8725431225993
11837,8369.857162963743
11838,1363.3192133561827
11839,9845.610432440619
11840,1167.3711030836687
11841,486.1346472996369
11842,407.0303192855132
11843,891.2415546209986
11844,705.2512345745054
11845,1567.063051210221
11846,1600.7085072899981
11847,1111.804917773389
11848,1325.5818544697204
11849,394.36674576024717
11850,1022.7120468188499
11851,2086.8431097722705
11852,3740.4675485120083
11853,1665.659652789124
11854,785.2350513589314
11855,1904.7331937421427
11856,2518.022252892092
11857,447.24309045685146
11858,1344.9735844603051
11859,1271.8759451652884
11860,612.5994284347158
11861,543.1217370633243
11862,3905.9235718561154
11863,1274.9405864522437
11864,951.5350245684215
