no,가격(만원)
11769,6918.171437379582
11770,921.6452041635713
11771,1298.6398259224047
11772,803.8432300198174
11773,2450.7521890694934
11774,497.5356328294221
11775,1478.4555517690328
11776,2250.5005516254732
11777,840.4054126843841
11778,333.98165332892944
11779,539.4405514740262
11780,968.3178538741845
11781,1038.617987640983
11782,1515.2964679778843
11783,848.4891547078396
11784,2948.770551168028
11785,1600.4687435261524
11786,1043.2806860427336
11787,799.1007603600012
11788,1325.7059515346405
11789,2415.303655450184
11790,924.423230858965
11791,1513.439660798449
11792,1134.9152374496614
11793,189.32255575720217
11794,1929.8057882042174
11795,2632.398901086331
11796,3083.033400869164
11797,3052.905921712375
11798,3222.8323718880233
11799,1137.0353465946755
11800,778.7810899022031
11801,514.2639424355191
11802,1023.7647047246693
11803,2600.7003265871317
11804,1298.6398259224047
11805,1292.4998040879857
11806,1454.4751957456647
11807,570.8517335489103
11808,1294.6741174519284
11809,1999.431914059858
11810,2436.153957454774
11811,2058.046918601244
11812,7666.328026700166
11813,3179.388872616364
11814,538.3500767361917
11815,931.0294231130074
11816,2204.7658112950003
11817,2071.7728655522633
11818,419.7011477360305
11819,722.3658479226152
11820,622.3432429772799
11821,505.7672522652128
11822,1540.3957248511258
11823,2114.94749923956
11824,894.8814142210164
11825,1946.2236875044405
11826,406.7138098864763
11827,564.2264108425943
11828,955.4019565934846
11829,1563.3335281560724
11830,1702.2103732030728
11831,3773.3444478763377
11832,1943.6736804630227
11833,942.3629462783776
11834,2200.590350186697
11835,1730.8973952628903
11836,1074.6717111675148
11837,8061.3663376214745
11838,1396.0475970846742
11839,8439.088575929534
11840,1269.461093437756
11841,473.66029326095924
11842,452.99892665152197
11843,686.6659828420418
11844,696.0824006815349
11845,1742.6887871996832
11846,1643.5272882869135
11847,1155.2822101196625
11848,1464.1410879547989
11849,388.6304817809929
11850,1056.6671638749842
11851,2183.935012867334
11852,3395.4509733852447
11853,1824.396543230519
11854,646.9704651137519
11855,1837.0121537417144
11856,2376.186309627514
11857,473.66029326095924
11858,1687.059653180443
11859,1448.4782738891654
11860,721.1803760435002
11861,740.772045681279
11862,4576.880354440524
11863,813.9127692382361
11864,1252.3872106901424
11865,693.1011919585978
11866,918.5576789612433
11867,2531.6485841899303
11868,660.5443063290786
11869,1212.7533910888815
11870,994.7615874701793
11871,2023.5259262000352
11872,6361.125067185384
11873,1610.8931615335089
11874,1281.0036630762336
11875,720.771727369566
11876,1077.3221856693085
11877,1103.184652205026
11878,392.826579659053
11879,1141.2605294597656
11880,6116.034402017507
11881,3082.6365165799575
11882,668.3151931226223
11883,693.0092720260559
11884,2195.1358414925608
11885,889.7156143513007
11886,624.2569495735283
11887,872.8471125898132
11888,5441.111167186405
11889,963.6009857512198
11890,940.7561075997803
11891,1713.7001305699873
11892,747.5408941510303
11893,1112.075143772437
11894,699.1738266454742
11895,1906.547276896271
11896,590.4217843605999
11897,1237.8263859942322
11898,1268.8864851603344
11899,200.2822659869163
11900,3424.666228660475
11901,436.38874719164687
11902,364.2813468718977
11903,982.7860603715105
11904,563.7566792356133
11905,4351.057130087456
11906,1408.3941016135605
11907,888.7750986668657
11908,1028.978157507076
11909,630.6692941216887
11910,722.3658479226152
11911,434.592006065487
11912,2094.0975445742424
11913,1419.698093214442
11914,1050.6238590956586
11915,2150.797810503276
11916,339.1979272911109
11917,898.7656197579836
11918,427.3128275595957
11919,986.7179500450312
11920,776.5849820555645
11921,1068.540268559198
11922,468.10095353893826
11923,752.6347316662966
11924,2865.537848361573
11925,2081.368728035044
11926,867.2033812715277
11927,1576.0408418621764
11928,787.8919425468132
11929,441.632678918175
11930,2884.265935051889
11931,1046.796806173773
11932,2860.6663365048807
11933,349.33323590337056
11934,1427.2316357426466
11935,3468.454804819422
11936,5493.728083893517
11937,2611.266019039439
11938,666.5377107467627
11939,428.36276964407443
11940,5538.561515092483
11941,2388.0506280394284
11942,695.3497792535325
11943,891.9178282284938
11944,385.1293875788359
11945,2616.0180891507134
11946,1126.751641177911
11947,380.4338811687239
11948,937.7052385529267
11949,529.5980308003889
11950,2072.2873347898158
11951,282.16486450718764
11952,2278.4421264858374
11953,1396.0475970846742
11954,4130.130252061263
11955,1002.3416590211548
11956,656.7270157951041
11957,1156.889922849489
11958,485.26938725919376
11959,2709.602355515431
11960,533.786860244854
11961,171.58243216919962
11962,1392.0020957613583
11963,2420.378063669501
11964,416.1634154012578
11965,1510.0710868635792
11966,419.8232880842487
11967,3910.4959175749555
11968,607.9371161296951
11969,1899.2767343279452
11970,1621.5791058691811
11971,570.2739071152934
11972,1265.102798996426
11973,248.69128531110368
11974,2067.213593154701
11975,7288.375033131304
11976,1101.3321718790257
11977,550.7277456811418
11978,1733.2431408971536
11979,7288.375033131304
11980,3663.872604829075
11981,643.0995987773812
11982,1245.996255792581
11983,1545.8126410431873
11984,795.224341174102
11985,1540.3957248511258
11986,630.1824712389624
11987,471.77052054175385
11988,1203.47134433886
11989,2154.863481398089
11990,673.4568873944247
11991,1212.7533910888815
11992,699.5088310046544
11993,812.744525638395
11994,1328.6777467305774
11995,2774.923126607864
11996,1256.4601167795927
11997,3413.3609929002946
11998,1150.3721713141206
11999,2406.8270894766974
12000,1061.9617410715935
12001,1686.4544953512304
12002,595.4653168260622
12003,1825.531026397888
12004,816.3608757036006
12005,2254.885832373427
12006,1663.9380465177917
12007,2382.7347942921087
12008,1523.9670401622116
12009,4149.334870772505
12010,3227.088541857913
12011,1458.8702257478378
12012,1280.5190969503537
12013,395.5307665189173
12014,3105.8707119289083
12015,982.1256364796901
12016,661.9948643591517
12017,1128.4528856711568
12018,679.6791817004516
12019,1014.8124987595842
12020,1936.4423700263183
12021,1031.3327793581134
12022,1888.0922475766858
12023,1269.461093437756
12024,768.5257270736884
12025,176.63937353092996
12026,542.4175569391523
12027,924.123496283132
12028,1699.623868243726
12029,835.0003732821767
12030,511.08393844415053
12031,1003.8058523989955
12032,388.55370646642916
12033,4382.398159860995
12034,384.1135089100193
12035,755.0506438388318
12036,1677.0623706412262
12037,1548.8925250529635
12038,799.798899947376
12039,455.84965884883707
12040,250.04218241970878
12041,514.7479943219457
12042,1555.4525244079437
12043,680.3721700738095
12044,938.9591461230744
12045,727.6477963761649
12046,451.90900093105574
12047,2583.3025395384902
12048,996.3370064244777
12049,2154.863481398089
12050,762.0992122027873
12051,813.9590766641695
12052,645.7830983745924
12053,1208.9920243565248
12054,327.04024517603256
12055,2022.668175594832
12056,528.5046902007731
12057,607.2839802856339
12058,559.8462858902565
12059,1272.6481655147595
12060,1126.2545549681017
12061,5106.7653080307855
12062,2221.1029101965705
12063,467.4422716161266
12064,5672.199038025647
12065,886.678170371442
12066,2957.46977378405
12067,538.257143292642
12068,1976.8086506204816
12069,4332.667384596381
12070,4008.8312380457137
12071,1532.6605693006509
12072,393.40696179956666
12073,889.7156143513007
12074,1862.8274798355935
12075,3009.5574239939137
12076,435.84921411692926
12077,878.8300000751665
12078,420.71091088318025
12079,775.7179543350605
12080,1126.751641177911
12081,3127.0621149979343
12082,503.49656325515986
12083,1386.6612414160325
12084,1753.1943821603136
12085,611.5583490046275
12086,763.6367107407023
12087,3764.564240511165
12088,3404.984988651765
12089,969.2320049881166
12090,722.3658479226152
12091,842.0720086431033
12092,632.3613993005174
12093,1804.7292965922272
12094,449.0352537398484
12095,856.9168528091991
12096,1106.061137851912
12097,782.2328259529595
12098,1727.256698017677
12099,545.7140154000051
12100,2034.3132367352368
12101,2335.821927259205
12102,775.9710800559487
