no,가격(만원)
11769,7136.041
11770,894.70764
11771,1212.5323
11772,604.3224
11773,2442.6091
11774,505.51495
11775,1553.3616
11776,2132.421
11777,775.72327
11778,324.53143
11779,521.7914
11780,935.7146
11781,1076.2253
11782,1433.0626
11783,900.07837
11784,2808.8142
11785,1264.2964
11786,1017.85913
11787,825.9028
11788,1155.3815
11789,2085.09
11790,908.9735
11791,1470.2997
11792,988.2885
11793,254.2444
11794,1941.826
11795,2350.2593
11796,3086.7861
11797,3777.5688
11798,3300.099
11799,1120.8102
11800,651.14417
11801,499.1617
11802,1066.6321
11803,2404.0237
11804,1212.5323
11805,1243.6152
11806,1437.4231
11807,732.3467
11808,1162.6519
11809,2163.5503
11810,2202.6213
11811,2000.1621
11812,8148.8315
11813,3032.4968
11814,567.9901
11815,820.68695
11816,1669.3401
11817,2120.397
11818,433.5302
11819,769.83386
11820,715.4889
11821,446.8897
11822,1439.5331
11823,4869.085
11824,937.78577
11825,2082.0962
11826,424.14496
11827,595.5109
11828,916.85693
11829,1571.0054
11830,1618.8828
11831,3091.9468
11832,1556.9263
11833,899.9499
11834,1941.1953
11835,1357.0481
11836,932.2135
11837,9445.301
11838,1314.4039
11839,9427.417
11840,1190.1693
11841,480.79
11842,406.78296
11843,555.52124
11844,709.9572
11845,1644.1537
11846,1547.9907
11847,1141.815
11848,1422.2799
11849,381.41522
11850,1034.4044
11851,2115.3442
11852,2878.0776
11853,1446.7256
11854,642.9873
11855,1910.9156
11856,2360.9907
11857,455.6347
11858,1417.7949
11859,1444.4775
11860,627.56744
11861,546.4169
11862,3812.4233
11863,734.1011
11864,1080.1646
11865,576.13824
11866,765.6115
11867,2676.4358
11868,607.20154
11869,1206.5431
11870,944.76355
11871,1891.1694
11872,4520.9062
11873,1564.655
11874,1161.2822
11875,648.59454
11876,818.87213
11877,600.27856
11878,448.45087
11879,1190.9482
11880,2121.4888
11881,899.6501
11882,428.78122
11883,887.3508
11884,2210.8906
11885,843.14734
11886,650.6073
11887,812.23584
11888,4843.829
11889,933.6461
11890,1181.4757
11891,1542.4087
11892,757.73047
11893,935.7856
11894,625.98535
11895,1917.0712
11896,497.57254
11897,1299.4114
11898,1194.9557
11899,204.71277
11900,3030.9524
11901,356.53265
11902,354.02444
11903,972.1479
11904,522.50854
11905,4037.717
11906,1067.8306
11907,860.0787
11908,811.4607
11909,614.6822
11910,769.83386
11911,496.67612
11912,1836.2078
11913,1504.4897
11914,1012.79535
11915,857.13196
11916,320.00577
11917,872.84534
11918,405.3437
11919,943.81024
11920,737.3798
11921,399.69434
11922,375.06207
11923,695.1354
11924,3349.1943
11925,2041.9243
11926,873.93695
11927,1343.3555
11928,785.3187
11929,341.6477
11930,2898.6875
11931,1052.5597
11932,2003.519
11933,391.32788
11934,1322.052
11935,3197.458
11936,4581.5103
11937,2134.2212
11938,610.86
11939,385.44067
11940,5401.5244
11941,2077.2515
11942,516.1537
11943,734.38257
11944,310.87555
11945,2758.2476
11946,965.9801
11947,367.11514
11948,830.1123
11949,520.49493
11950,2074.3628
11951,330.83582
11952,1872.2192
11953,1314.4039
11954,3207.3225
11955,997.95685
11956,546.1888
11957,1109.177
11958,424.823
11959,2556.7283
11960,548.7295
11961,217.56554
11962,1309.845
11963,2237.5615
11964,472.7934
11965,1428.2246
11966,396.73273
11967,2765.0278
11968,551.52594
11969,1771.2197
11970,967.7579
11971,480.3886
11972,715.85864
11973,233.98233
11974,1553.9036
11975,6727.875
11976,583.7154
11977,571.2855
11978,1754.5813
11979,6727.875
11980,3118.147
11981,606.066
11982,1181.3832
11983,1502.243
11984,716.8445
11985,1439.5331
11986,616.40204
11987,457.64734
11988,1161.5333
11989,2073.4585
11990,511.9655
11991,1206.5431
11992,783.15674
11993,748.5564
11994,1324.176
11995,2602.514
11996,1221.2311
11997,3156.4497
11998,1067.5334
11999,2366.8174
12000,1025.5099
12001,1578.874
12002,601.54175
12003,1793.643
12004,762.00916
12005,3856.6978
12006,1596.0366
12007,2285.8728
12008,1522.217
12009,3432.1694
12010,2548.21
12011,1360.9111
12012,1251.2625
12013,359.14014
12014,2826.1606
12015,990.84717
12016,675.64197
12017,935.5011
12018,827.47675
12019,1047.5969
12020,2075.4211
12021,973.6474
12022,1917.1453
12023,1190.1693
12024,703.46045
12025,163.27893
12026,480.23505
12027,879.6352
12028,1652.0125
12029,826.34174
12030,443.80405
12031,1009.0813
12032,367.2517
12033,4299.0527
12034,366.61066
12035,746.10675
12036,1461.5847
12037,1409.2444
12038,552.7553
12039,430.4214
12040,245.55652
12041,452.61963
12042,1351.9426
12043,638.1345
12044,889.1262
12045,669.9916
12046,324.94055
12047,2684.8728
12048,859.5089
12049,2073.4585
12050,571.1728
12051,817.20337
12052,575.47784
12053,1094.2712
12054,272.08176
12055,1972.2029
12056,505.23148
12057,587.98926
12058,490.1662
12059,1149.851
12060,1059.7318
12061,4762.262
12062,1842.1543
12063,429.5921
12064,5016.3564
12065,853.29865
12066,2717.374
12067,1799.0629
12068,2123.5088
12069,4431.297
12070,3748.153
12071,1442.0844
12072,394.68182
12073,843.14734
12074,1884.2294
12075,2791.0269
12076,403.31793
12077,820.5322
12078,408.7379
12079,821.9457
12080,965.9801
12081,2396.7239
12082,455.19006
12083,1337.6477
12084,1565.6243
12085,574.0598
12086,732.2313
12087,3651.0813
12088,3088.0203
12089,939.43097
12090,769.83386
12091,834.8354
12092,480.58032
12093,1792.2203
12094,415.71936
12095,616.77637
12096,987.3224
12097,702.3645
12098,1659.6703
12099,539.9518
12100,2064.8203
12101,2255.065
12102,669.83386
12103,2376.3364
12104,1850.0884
12105,1121.2521
12106,815.64343
12107,4715.4683
12108,1468.8013
12109,822.61926
12110,1366.3048
12111,2003.9827
12112,673.8134
12113,1456.2245
12114,640.38824
12115,466.96326
12116,321.33624
12117,696.90186
12118,2349.1943
12119,743.8647
12120,2440.2927
12121,3497.1826
12122,810.8043
12123,772.3193
12124,1188.1195
12125,200.34625
12126,2186.307
12127,4270.039
12128,887.50757
12129,787.53064
12130,554.3519
12131,1133.4688
12132,1147.5549
12133,859.8915
12134,4839.469
12135,1075.1451
12136,404.4
12137,561.03064
12138,336.3504
12139,2815.121
12140,596.1817
12141,348.0756
12142,928.9548
12143,1862.5857
12144,971.2991
12145,5745.9937
12146,971.2991
12147,2068.792
12148,2114.5684
12149,410.3002
12150,799.02527
12151,1383.5481
12152,3089.7087
12153,1286.5393
12154,873.6996
12155,1294.8994
12156,3681.4595
12157,1269.7611
12158,2982.6086
12159,822.8687
12160,965.9801
12161,1246.1388
12162,478.92725
12163,428.9936
12164,1081.4795
12165,1401.8988
12166,927.60944
12167,598.80865
12168,3880.6743
12169,1004.20825
12170,1859.0416
12171,4995.928
12172,315.8141
12173,555.8573
12174,1726.3138
12175,1466.8597
12176,4271.249
12177,667.82074
12178,365.30392
12179,1173.5073
12180,1944.7938
12181,1519.8069
12182,890.5509
12183,1110.5754
12184,459.6212
12185,2358.198
12186,818.4184
12187,579.27966
12188,855.99963
12189,422.00793
12190,1423.0721
12191,1303.1304
12192,4952.325
12193,413.24963
12194,475.3071
12195,1145.9148
12196,499.57355
12197,5530.4385
12198,776.9249
12199,4843.829
12200,1590.8423
12201,363.43088
12202,3096.8232
12203,1020.76807
12204,1071.8956
12205,391.71567
12206,1316.2681
12207,438.2898
12208,2386.8943
12209,3331.8552
12210,419.93124
12211,690.21716
12212,317.288
12213,6920.8
12214,1146.4777
12215,1238.9934
12216,1215.584
12217,2169.8296
12218,1032.9474
12219,2107.0862
12220,965.9801
12221,1299.8442
12222,539.893
12223,1409.775
12224,2020.157
12225,257.22888
12226,1078.6083
12227,1223.247
12228,735.4409
12229,468.71014
12230,407.54724
12231,3040.7036
12232,684.5098
12233,625.6886
12234,1792.028
12235,1038.6353
12236,422.00793
12237,373.0061
12238,2473.716
12239,388.44315
12240,1143.1001
12241,491.77338
12242,339.3129
12243,512.3274
12244,1155.671
12245,704.3381
12246,551.2122
12247,1033.3823
12248,1448.2672
12249,1251.2625
12250,2074.3628
12251,1086.8319
12252,1877.6382
12253,1794.9707
12254,713.5973
12255,324.66852
12256,2670.2764
12257,1483.4998
12258,955.5944
12259,424.3398
12260,766.478
12261,2717.374
