no,가격(만원)
11769,5579.270078196278
11770,1831.4183898625085
11771,1146.9393184818334
11772,945.8009904314804
11773,2099.162301407903
11774,447.1691064714922
11775,1825.6786721960475
11776,2433.3020416160534
11777,1060.5940466170543
11778,-257.51674589885124
11779,651.0090465296291
11780,1383.9294524962722
11781,1087.29179249721
11782,1336.0216123439088
11783,977.5025285566826
11784,3899.4940417793387
11785,1965.4992602511097
11786,1472.7656137293866
11787,856.2760253049579
11788,1213.5479717051464
11789,2217.369208489134
11790,1776.6887106248246
11791,2020.9074259181616
11792,1385.247291034325
11793,-760.1084749118447
11794,2188.450013666706
11795,2155.352911434051
11796,2641.9078841381734
11797,2881.7605927278137
11798,2664.5062057148116
11799,1259.0183221784719
11800,1134.0257282890293
11801,376.6132303994185
11802,1574.194057676048
11803,2647.738212117936
11804,1146.9393184818334
11805,1648.3808226028548
11806,1510.6270489296521
11807,1560.7589234107652
11808,1176.3361664516706
11809,2377.5323075287815
11810,2218.572627705731
11811,2383.015557752069
11812,5635.623056415043
11813,3162.6485069465234
11814,2701.9242671740167
11815,834.4688650214482
11816,1842.0044937746202
11817,2586.470451029404
11818,-11.16538479937276
11819,1033.5417990570809
11820,1050.6370909734958
11821,439.4038757059453
11822,2079.9064589746445
11823,2519.1204148944935
11824,1545.5238652106962
11825,1759.3568687763511
11826,921.7758158106259
11827,-112.81588111650285
11828,865.5075062361752
11829,1763.89415474451
11830,1792.4504854861443
11831,2612.746737412645
11832,2269.760530155318
11833,1786.5277982228001
11834,2481.428158371539
11835,1619.5665878101647
11836,973.4633515691003
11837,5875.183423681818
11838,1989.3910826461408
11839,6501.818903066143
11840,1802.9596597356096
11841,436.36348766875403
11842,630.1737717846148
11843,721.4386866999574
11844,1036.4071408320942
11845,2242.17630815939
11846,1972.8774172659346
11847,1777.7234544299197
11848,2035.3519925473938
11849,349.22806664777454
11850,1895.2151284148263
11851,2448.1835171843004
11852,2350.3086944688584
11853,1449.3788050385872
11854,908.3128762521569
11855,1997.7020686689925
11856,2350.4814490293606
11857,594.5705317293163
11858,2186.1264958786337
11859,1603.7378484374067
11860,718.1365680179179
11861,1088.3759684628917
11862,2949.516595790251
11863,2143.7557001799796
11864,1540.6756092384244
11865,874.0971152113939
11866,911.7394031751921
11867,2928.395544376157
11868,1653.857777738717
11869,1745.1216430789796
11870,1880.214751725126
11871,2312.4596816799954
11872,5547.136016585528
11873,1970.2798101980259
11874,1887.7177837952727
11875,773.9036291229315
11876,1264.5187835355605
11877,1406.661394132571
11878,868.5044065160731
11879,1507.4402965792422
11880,-1911.7140623209157
11881,1126.6830094832999
11882,643.214367305666
11883,1412.81173209546
11884,2425.5981828301547
11885,809.0836576576658
11886,869.9101813241641
11887,1146.8766169162684
11888,4864.844757831823
11889,-592.518330326629
11890,1243.1419242466638
11891,2281.7258336638365
11892,1076.922735251966
11893,1151.5541572475224
11894,534.4590666217507
11895,1455.182527794114
11896,945.2789366294803
11897,1719.107924795463
11898,1479.4623898436685
11899,315.62338575826243
11900,2616.535663996883
11901,489.0620196404674
11902,-12.356976127470944
11903,1498.1508210931693
11904,800.8253121055234
11905,3520.020243475122
11906,865.8354239456739
11907,1076.6423608857729
11908,853.0084190083787
11909,1110.2276458415763
11910,1033.5417990570809
11911,48.276430139367676
11912,2101.6449482587086
11913,1661.9815856977543
11914,1847.2445866968983
11915,2047.8146167441234
11916,-142.43923400544872
11917,1238.51265115902
11918,560.8956948639957
11919,1447.4827370709095
11920,983.5011504595536
11921,1016.6259931362748
11922,733.0894176037132
11923,771.5119022017544
11924,4269.272835884098
11925,1679.5755792863006
11926,938.3304817512626
11927,2127.2780404030545
11928,1049.4303572969443
11929,135.02698308150684
11930,2736.044037547279
11931,1568.706697165243
11932,2238.5181477549354
11933,251.74412432290922
11934,1242.8804019176896
11935,2619.3225497840276
11936,2793.155669092351
11937,2599.767670400008
11938,630.721770099185
11939,157.11791402511335
11940,4821.804011594553
11941,2259.416765108662
11942,1322.3606910973344
11943,1505.3852335394301
11944,211.0927022618448
11945,3970.2037032490107
11946,1197.2388855553738
11947,527.8598983724766
11948,839.2679052641911
11949,531.7680166537563
11950,2292.345864509464
11951,-28.936521076376494
11952,2452.8255902760975
11953,1989.3910826461408
11954,2919.401372732318
11955,1120.9878943194224
11956,489.6100179550376
11957,1707.167578357846
11958,212.91614390112545
11959,2427.4533701348078
11960,625.4457815308294
11961,149.20086793774726
11962,2011.9297456474992
11963,2257.3402386031416
11964,1073.8784136543272
11965,1790.4999645980465
11966,349.22806664777454
11967,4387.7992536741
11968,803.4672360407699
11969,1858.0031852718193
11970,1549.8361291317246
11971,675.4431801733633
11972,1568.7961730825996
11973,216.77881336516703
11974,2349.0047426905376
11975,5617.691892657602
11976,1217.5791002704955
11977,898.5600176253552
11978,2344.8213339580534
11979,5617.691892657602
11980,2687.091540068957
11981,850.8166175795511
11982,1377.8261912439345
11983,1579.8859615396043
11984,897.1537235545948
11985,2079.9064589746445
11986,958.9066584387563
11987,439.3414183134081
