no,가격(만원)
11769,5579.288625828092
11770,1831.421579306887
11771,1146.9375640045764
11772,945.8064028881636
11773,2099.1647007947468
11774,447.16701351609663
11775,1825.679716615923
11776,2433.3048867561447
11777,1060.5929418648884
11778,-257.51682739429816
11779,651.0117706931633
11780,1383.9299140728835
11781,1087.2943435997877
11782,1336.020144741473
11783,977.5039234791475
11784,3899.5095127507666
11785,1965.499550309003
11786,1472.767033239521
11787,856.1350579510909
11788,1213.5482282865269
11789,2217.3654992779193
11790,1776.6823882475
11791,2020.9109270369954
11792,1385.2492864384549
11793,-760.1069858826377
11794,2188.4448145958013
11795,2155.3475935175666
11796,2641.9009026866406
11797,2881.7544280832662
11798,2664.5093076366757
11799,1259.0128755433252
11800,1134.028721023904
11801,376.6110756873095
11802,1574.197272017278
11803,2647.7358989105414
11804,1146.9375640045764
11805,1648.375063656189
11806,1510.629970572525
11807,1560.7559955069883
11808,1176.3370298597001
11809,2377.527395332698
11810,2218.5652757138887
11811,2383.0138855718833
11812,5635.641653371946
11813,3162.6477466442157
11814,2701.9416028028645
11815,834.4686229766521
11816,1842.0005773845041
11817,2586.4651623516693
11818,-11.165278224478243
11819,1033.541722040638
11820,1050.6428534193983
11821,439.40398772180197
11822,2079.903607938264
11823,2519.125113146816
11824,1545.5264975520404
11825,1759.3557717142103
11826,921.773464343758
11827,-112.81753410640522
11828,865.5060232716642
11829,1763.8902484496357
11830,1792.4525813613436
11831,2612.7513462800707
11832,2269.7632512697455
11833,1786.538051213327
11834,2481.431064756107
11835,1619.5740277915756
11836,973.4586958786676
11837,5875.194153823686
11838,1989.3870357847045
11839,6501.865772507619
11840,1802.9614896340063
11841,436.3651610156812
11842,630.1752089785296
11843,721.4404763560306
11844,1036.4095225217607
11845,2242.180617240083
11846,1972.8792633701669
11847,1777.719222298343
11848,2035.35473211325
11849,349.23320284625515
11850,1895.2090311556094
11851,2448.1865395110653
11852,2350.3125881339656
11853,1449.3788681219885
11854,908.3141034900909
11855,1997.696280395554
11856,2350.4759695395187
11857,594.5781680520158
11858,2186.1304171719385
11859,1603.7391552324552
11860,718.1451979223784
11861,1088.371970536653
11862,2949.5101263316465
11863,2143.7601912533864
11864,1540.6816048890469
11865,874.0999953058345
11866,911.7399563579238
11867,2928.394700408375
11868,1653.8533509310364
11869,1745.124088008888
11870,1880.2109755207493
11871,2312.457947743096
11872,5547.146498151415
11873,1970.2848792069854
11874,1887.7109101043607
11875,773.9032034749544
11876,1264.519645501874
11877,1406.6649921483622
11878,868.510239977637
11879,1507.4368618805165
11880,-1911.7144560586748
11881,1126.6828926189046
11882,643.2135271151637
11883,1412.8153406356287
11884,2425.6013067616004
11885,809.0831506467948
11886,869.9121745343291
