no,가격(만원)
11769,7432.363809523809
11770,1185.7414285714287
11771,1169.4946341463415
11772,690.78
11773,1892.6533333333332
11774,385.49904761904764
11775,1542.5714285714287
11776,2664.2795238095237
11777,601.3916666666668
11778,188.73333333333335
11779,332.49
11780,942.2703174603173
11781,1003.5485714285714
11782,1473.7916428571427
11783,694.7518773448772
11784,2653.56
11785,2397.498666666667
11786,2083.95
11787,690.095
11788,817.2157619047618
11789,2315.8658571428573
11790,1222.6750360750361
11791,1313.050507936508
11792,976.2116666666666
11793,320.18
11794,2400.94
11795,1416.19
11796,1709.9493333333332
11797,2962.1114285714284
11798,2066.4205375457877
11799,959.1933333333333
11800,449.84
11801,355.01333333333326
11802,993.5512857142858
11803,2197.7733333333335
11804,1169.4946341463415
11805,2647.333333333334
11806,1392.1333333333334
11807,706.2322727272726
11808,665.6200000000001
11809,1718.9133333333332
11810,1422.1166666666668
11811,2114.921904761905
11812,7183.4
11813,2991.0095238095237
11814,544.9111082251083
11815,953.4574516594516
11816,2958.48
11817,2419.075
11818,201.46
11819,507.62
11820,380.06
11821,377.66666666666663
11822,1150.295357142857
11823,2515.5266666666666
11824,2092.0
11825,1680.5466666666666
11826,403.6633333333333
11827,964.96
11828,689.4746666666667
11829,1344.6866666666665
11830,1241.3466666666666
11831,2853.13
11832,1428.6861904761906
11833,996.1138095238097
11834,2201.293333333333
11835,1267.8032997557998
11836,784.2083333333333
11837,6666.54
11838,1263.1808571428571
11839,8660.74
11840,1092.9340306360307
11841,293.11
11842,254.35
11843,1132.2
11844,748.1098138528137
11845,1678.425333333333
11846,1717.5361904761903
11847,1084.9816666666668
11848,1371.7436904761905
11849,326.3833333333333
11850,1236.557544011544
11851,1975.53
11852,1770.7133333333331
11853,1148.8541774891776
11854,482.07000000000005
11855,3049.2166666666662
11856,2278.0966666666664
11857,297.83
11858,2423.866666666667
11859,1208.3103333333333
11860,548.2666666666667
11861,484.82
11862,2964.674761904763
11863,1557.7133333333331
11864,881.02
11865,349.8
11866,539.2066666666667
11867,2737.376666666666
11868,774.52
11869,1130.4304761904762
11870,610.14
11871,2218.186333333333
11872,4668.790285714285
11873,1713.6640000000002
11874,2208.546666666667
11875,457.69066666666663
11876,760.81
11877,1050.98
11878,413.58
11879,1061.8776512820514
11880,1445.72
11881,654.4380218312155
11882,404.77
11883,661.8666666666666
11884,1756.641333333333
11885,567.3866666666668
11886,486.25333333333333
11887,944.6959999999999
11888,3911.7653571428573
11889,1868.2
11890,934.34
11891,1618.3800000000003
11892,437.8825
11893,1073.9915238095239
11894,596.7123333333334
11895,2290.061666666667
11896,577.5
11897,1339.3726190476189
11898,634.6826666666666
11899,712.92
11900,2117.928095238095
11901,282.99333333333334
11902,211.95333333333332
11903,1004.2342857142855
11904,466.78666666666663
11905,4114.8736969696965
11906,535.28
11907,664.836
11908,865.1366666666668
11909,516.22
11910,507.62
11911,320.26
11912,3167.3973333333333
11913,1630.9966256798757
11914,1176.6975440115439
11915,1193.5773412698413
11916,264.92
11917,793.957
11918,411.5033333333333
11919,899.55
11920,617.286
11921,446.04666666666674
11922,334.12
11923,885.5254761904762
11924,2672.473
11925,2301.7413333333334
11926,605.8820606060606
11927,1696.3766666666668
11928,609.2283333333332
11929,395.359619047619
11930,2549.34
11931,926.4119999999999
11932,1827.4
11933,192.24666666666667
11934,1373.6010476190474
11935,1717.2851666666663
11936,3141.5266666666666
11937,2491.676888888889
11938,433.608
11939,302.9542857142857
11940,4776.116666666666
11941,1617.25
11942,2983.046666666667
11943,519.56
11944,255.32
11945,1649.9332034632034
11946,526.906
11947,229.72
11948,797.4285714285714
11949,417.4466666666667
11950,1867.6399999999996
11951,244.66133333333332
11952,1526.5412020202018
11953,1263.1808571428571
11954,3535.6313333333337
11955,887.3064121434123
11956,464.538
11957,1051.4283333333333
11958,406.44166666666666
11959,1826.4007142857145
11960,372.05
11961,186.16
11962,1274.59
11963,2380.2433333333333
11964,545.8983333333333
11965,2809.883333333333
11966,326.3833333333333
11967,3160.407777777778
11968,391.8624047619048
11969,1399.0
11970,913.2292170542635
11971,335.18
11972,575.68
11973,168.22
11974,1768.8953333333332
11975,5630.2
11976,701.4
11977,504.2504761904762
11978,2669.9266666666667
